,polynomials,train_mse,test_mse
0,1,0.6398285876938853,0.6402673125540704
1,2,0.6159367101827673,0.6171142855618701
2,3,0.5906189484436607,0.5923559066879924
3,4,0.5803808903906811,0.5825318267383349
4,5,0.5421427143320627,0.5447675364366719
5,6,0.5290720385286625,0.5330635032650907
6,7,0.4932024539275554,0.49780021192669793
7,8,0.46740136318329073,0.47175328918081744
8,9,0.4575302413242259,0.4632822157487017
9,10,0.42884071102408533,0.4353694828552914
10,11,0.4133979403873461,0.42177500333362944
