,p1,p2,test_AR,train_AR
0,0.001,0.001,0.4282508489151257,0.42965384896212266
1,0.001,0.01,0.5395258814913347,0.5773013029041889
2,0.001,0.1,0.5111880326894681,0.7012631486810831
3,0.01,0.001,0.4735509132144443,0.47044989617590216
4,0.01,0.01,0.5407800188201847,0.5837436384925976
5,0.01,0.1,0.5080860008667489,0.6988638770264494
6,0.1,0.001,0.45146652657420805,0.44911220058655366
7,0.1,0.01,0.5389805478717933,0.5785095388122701
8,0.1,0.1,0.5158737419424764,0.6847793789094093
9,1.0,0.001,0.45227022743304346,0.45259691307795774
10,1.0,0.01,0.5420302562661774,0.5667719272965065
11,1.0,0.1,0.5495635299854681,0.6096349108801794
12,10.0,0.001,0.4309190187699737,0.426247130653463
13,10.0,0.01,0.5082374463177063,0.4986586036601079
14,10.0,0.1,0.5166897924303598,0.5083824886624029
