,p1,p2,test_mse,train_mse
0,0.01,0.01,0.07121997626822194,0.07191776686954077
1,0.01,0.1,0.009142030917894737,0.00887244381587026
2,0.01,1.0,1.0085273271856825,1.0000441412605134
3,0.1,0.01,0.04659586765251495,0.04760375218021945
4,0.1,0.1,0.019869664805696394,0.01951233337610814
5,0.1,1.0,1.0085273271856825,1.0000441412605134
6,1.0,0.01,0.06709495743512932,0.06760875472304635
7,1.0,0.1,0.02085950423798178,0.02051512761743722
8,1.0,1.0,1.0085273271856825,1.0000441412605134
9,10.0,0.01,0.1059529840747425,0.1043679882031977
10,10.0,0.1,0.08286923888326707,0.08182577556682434
11,10.0,1.0,1.0085273272807367,1.0000441419071615
